Symbol,Description,Price/Earnings (TTM),Price/Earnings (MRFY),Annual Dividend Yield,Price/Earnings (FYF),Price/Book (MRQ),Price/Sales (TTM),Price/Cash Flow (MRFY),Net Profit Margin (MRFY),Debt to Equity (MRQ),Return on Equity (TTM),Return on Assets (MRFY),Count
CSCO,Cisco Systems Inc,17.34,16.8,2.97%,14.54,5.81,3.85,13.89,24.07%,0.42,30.33%,11.99%,1
CSFL,CenterState Bank Corp,13.04,13.56,1.84%,11.53,1.05,4.32,16.96,30.19%,0.03,8.59%,1.39%,1
CSGP,CoStar Group Inc,75.98,98.66,--,64.58,7.17,17.63,74.77,20.00%,0,9.97%,8.97%,1
CSGS,CSG Systems International Inc,20.59,25.52,1.73%,15.18,4.43,1.71,13.14,7.56%,0.91,21.90%,7.53%,1
CSHB,Community Shores Bank Corp,47.88,106.56,--,5,1.42,2.56,38.91,2.18%,0.31,3.01%,0.23%,1
CSIQ,Canadian Solar Inc,6.33,5.81,--,9.92,1.01,0.42,3.65,6.32%,0.4,17.32%,3.52%,1
CSL,Carlisle Companies Inc,20.39,27.57,1.25%,19.9,3.38,1.91,16.64,7.93%,0.59,16.89%,8.28%,1
CSTE,Caesarstone Ltd,35.71,21.21,--,17.76,1.06,0.93,9.72,4.27%,0.02,3.01%,2.20%,1
CSTR,CapStar Financial Holdings Inc,18.55,24.24,1.24%,12.11,1.11,3.16,27.77,14.38%,0,7.67%,0.94%,1
CSV,Carriage Services Inc,50.91,41.63,1.19%,18.81,2,1.67,15.7,4.17%,1.58,3.78%,0.93%,1
CSWC,Capital Southwest Corp,14.89,10.52,7.70%,13.74,1.14,6.29,10.81,63.72%,0.75,7.63%,4.40%,1
CSWI,CSW Industrials Inc,26.78,26.04,0.69%,24.51,4.09,3.15,19.45,13.29%,0.04,16.20%,12.61%,1
CSX,CSX Corp,17.51,19.09,1.31%,17.62,4.84,4.71,12.37,27.01%,1.35,26.60%,9.00%,1
CTAS,Cintas Corp,32.81,34.92,0.91%,31.73,9.31,4.06,23.26,12.82%,0.82,29.92%,12.11%,1
CTB,Cooper Tire & Rubber Co,30.27,18,1.51%,17.72,1.15,0.5,6.08,2.92%,0.1,3.89%,1.78%,1
CTBI,Community Trust Bancorp Inc,12.64,13.69,3.32%,12.87,1.34,4.2,12.92,30.51%,0.1,11.12%,1.51%,1
CTHR,Charles & Colvard Ltd,13.49,13.94,--,13.05,0.88,1.25,15.08,7.06%,0,5.85%,5.05%,1
CTLT,Catalent Inc,58.94,61.28,--,29.3,5.11,3.21,23.06,5.46%,1.27,9.05%,2.86%,1
CTO,Consolidated-Tomoka Land Co,10.32,8.73,0.85%,2.81,1.52,3.93,5.5,44.94%,1.42,15.40%,5.89%,1
CTPR,CTPartners Executive Search Inc,0,0,--,0,0,0,0,1.92%,0.12,4.40%,1.54%,1
CTRA,Contura Energy Inc,1.85,0.73,--,5.4,0.25,0.06,0.35,14.91%,0.65,26.10%,8.09%,1
CTRE,CareTrust REIT Inc,43.7,28.17,4.41%,42.38,2.09,12.23,18.82,36.91%,0.6,4.97%,2.98%,1
CTRN,Citi Trends Inc,18.95,13.63,1.44%,22.29,1.44,0.34,6.45,2.78%,0,7.66%,3.89%,1
CTS,CTS Corp,23.17,21.75,0.53%,20.88,2.47,2.06,14.2,9.82%,0.29,11.16%,7.19%,1
CTSH,Cognizant Technology Solutions Corp,16.45,16.9,1.32%,15.28,3.12,2,12.81,12.99%,0.07,19.33%,13.46%,1
CTXS,Citrix Systems Inc,25.34,30.21,1.23%,20.05,20.72,4.93,21.43,18.47%,1.04,83.77%,12.97%,1
CUB,Cubic Corp,42,40.42,0.40%,19.69,2.19,1.41,19.91,2.76%,0.26,6.15%,2.62%,1
CUBE,CubeSmart,33.66,35.14,4.25%,36.23,3.31,9.5,19.32,27.68%,1.01,9.99%,4.66%,1
CUBI,Customers Bancorp Inc,12.83,12.58,--,10.97,0.87,2.08,9.8,22.63%,0.23,7.17%,0.62%,1
CUK,Carnival PLC,10.72,10.73,4.31%,10.14,1.25,1.58,6.4,14.35%,0.38,12.01%,6.84%,1
CULP,Culp Inc,34.86,33.41,3.08%,22.67,1.05,0.57,12.17,1.69%,0.01,3.00%,1.92%,1
CUZ,Cousins Properties Inc,84.26,53.92,2.86%,92.32,1.39,10.18,23.85,14.42%,0.43,1.58%,0.83%,1
CVA,Covanta Holding Corp,257.8,12.97,6.65%,278.33,5.22,1.05,5.41,7.87%,6.85,1.81%,0.03%,1
CVBF,CVB Financial Corp,14.9,17.07,3.39%,14.41,1.51,5.96,18.53,38.72%,0.01,10.52%,1.75%,1
CVCO,Cavco Industries Inc,24.67,27.22,--,24.14,3.22,1.84,25.11,7.16%,0.03,14.20%,10.19%,1
CVCY,Central Valley Community Bancorp,12.93,13.69,2.09%,13.26,1.2,3.58,9.45,29.15%,0.02,9.97%,1.44%,1
CVGI,Commercial Vehicle Group Inc,5.76,4.49,--,5.36,1.31,0.2,3.34,4.55%,1.11,26.15%,7.23%,1
CVGW,Calavo Growers Inc,39.79,39.77,1.33%,24.58,5.13,1.22,22.64,4.24%,0.02,13.39%,13.37%,1
CVI,CVR Energy Inc,9.68,12.89,7.95%,10.49,2.83,0.62,6.49,5.77%,0.83,31.33%,11.07%,1
CVLY,Codorus Valley Bancorp Inc,11.62,11.18,2.91%,21.96,1.14,2.76,9.72,25.30%,0.06,10.19%,1.01%,1
CVR,Chicago Rivet & Machine Co,21.92,12.43,3.42%,25.75,0.84,0.73,7.52,5.38%,0,3.83%,3.41%,1
CVTI,Covenant Transportation Group Inc,10.42,5.81,--,18.23,0.71,0.26,2.08,4.80%,0.74,7.06%,2.89%,1
CVU,CPI Aerostructures Inc,15.01,27.98,--,9.06,0.77,0.77,26.46,2.64%,0.02,5.78%,3.68%,1
CVX,Chevron Corp,16.2,15.06,4.09%,18.38,1.41,1.51,6.43,9.34%,0.16,8.83%,5.32%,1
CW,Curtiss-Wright Corp,20.45,22.35,0.47%,19.96,3.61,2.47,15.81,11.82%,0.45,18.29%,8.99%,1
CWBC,Community West Bancshares,14.33,12.62,1.99%,11.07,1.18,2.57,11.47,20.43%,0,8.51%,0.75%,1
CWCO,Consolidated Water Co Ltd,29.93,23.8,2.12%,27.44,1.48,3.61,13.48,16.55%,0,5.12%,5.35%,1
CWST,Casella Waste Systems Inc,321.06,325.52,--,55.47,20.4,3.12,29.39,0.97%,4.73,16.89%,1.09%,1
CWT,California Water Service Group,20.9,22.22,1.59%,36.12,3.16,3.36,12.39,15.41%,1.07,15.58%,3.88%,1
CX,Cemex SAB de CV,28.26,11.49,2.60%,13.07,0.6,0.42,4.11,3.99%,0.92,2.06%,0.81%,1
CXDC,China XD Plastics Company Ltd,2.15,2.04,--,2.1,0.16,0.09,1.23,5.36%,0.31,7.63%,2.99%,1
CXO,Concho Resources Inc,14.15,6.74,0.56%,32.5,0.97,4.06,4.77,54.90%,0.24,7.02%,4.96%,1
CXP,Columbia Property Trust Inc,67.97,266.98,4.05%,259.38,0.9,8.2,20.94,0.50%,0.42,1.30%,0.68%,1
CXW,CoreCivic Inc,9.86,11.63,11.28%,15.6,1.34,0.95,5.85,8.67%,1.1,13.41%,5.13%,1
CY,Cypress Semiconductor Corp,30.25,24.56,1.88%,21.21,4.13,3.85,12.47,16.60%,0.36,14.40%,10.27%,1
CYBE,CyberOptics Corp,83.69,52.27,--,205,2.54,2.42,27.44,4.37%,0,3.20%,2.69%,1
CYBR,Cyberark Software Ltd,78.4,107.26,--,52.19,8.83,12.44,89.96,13.72%,0,13.32%,9.25%,1
CYIG,Spring Pharmaceutical Group Inc,0.22,0.29,--,0.11,0.03,0.04,0.23,18.08%,0,14.91%,14.69%,1
CYOU,Changyou.Com Ltd,4.34,6.4,--,4.36,1.48,1.17,5.25,17.28%,0,21.17%,7.36%,1
CZBS,Citizens Bancshares Corp,12.39,15.93,5.30%,11.33,0.6,1.43,9.04,10.91%,0,5.12%,0.58%,1
CZFS,Citizens Financial Services Inc,11.45,12.1,2.92%,11.18,1.43,3.77,11.38,32.84%,0.72,13.26%,1.32%,1
CZNC,Citizens & Northern Corp,17.92,15.29,3.95%,27.32,1.54,5.24,15.82,33.19%,0,9.07%,1.35%,1
CZZ,Cosan Ltd,13.16,24.32,--,17.2,3.77,1.04,5,12.37%,5.8,31.15%,6.16%,1
D,Dominion Energy Inc,56.67,21.56,4.47%,19.53,2.44,4.37,13.86,19.41%,1.15,4.49%,1.18%,1
DAL,Delta Air Lines Inc,8.3,10.45,2.72%,8.45,2.54,0.83,6.12,8.86%,0.53,32.80%,7.98%,1
DAN,Dana Inc,9.98,5.68,2.42%,5.47,1.33,0.28,3.47,5.11%,1.31,15.91%,3.34%,1
DANOY,Danone SA,21.62,19.9,2.69%,18.46,2.89,2.01,19.58,6.80%,0.88,13.81%,4.82%,1
DAR,Darling Ingredients Inc,44.46,47.8,--,45.46,2.02,1.39,10.93,3.08%,0.68,4.77%,2.42%,1
DASTY,Dassault Systemes SE,64.44,70.41,0.82%,43.41,7.71,10.47,50.48,16.20%,0.7,12.99%,6.43%,1
DAVA,Endava PLC,52.77,73.42,--,45.93,10.47,6.3,60.01,8.34%,0.16,22.82%,15.72%,1
DCI,Donaldson Company Inc,25.85,25.27,1.51%,24.61,7.69,2.49,19.53,10.05%,0.65,31.56%,12.55%,1
DCMYY,NTT Docomo Inc,16.55,16.29,--,18.46,1.85,2.14,9.02,13.73%,0.04,11.09%,8.31%,1
DCO,Ducommun Inc,20.45,54.42,--,16.1,1.72,0.7,14.2,1.44%,0.78,9.00%,3.64%,1
DCOM,Dime Community Bancshares Inc,17.23,14.43,2.82%,17.25,1.17,4.59,12.96,32.91%,0.19,6.84%,0.66%,1
DDS,Dillard's Inc,14.63,11.41,0.86%,17.24,1.25,0.27,4.42,2.57%,0.35,7.85%,3.27%,1
DE,Deere & Co,17.45,17.45,1.75%,18.36,4.76,1.38,10.47,8.06%,2.65,28.06%,4.43%,1
DEA,Easterly Government Properties Inc,263.94,275.33,4.53%,314.52,1.61,8.14,23.67,4.15%,0.86,0.61%,0.36%,1
DECK,Deckers Outdoor Corp,16.98,18.33,--,18.07,5.04,2.21,14.7,13.32%,0.03,32.23%,18.24%,1
DEER,Deer Consumer Products Inc,0,0,--,0,0,0,0,17.55%,0,22.64%,19.99%,1
DEI,Douglas Emmett Inc,65.05,61.39,2.68%,65.44,2.99,7.97,16.7,14.59%,1.7,4.50%,1.42%,1
DELTY,Delta Galil Industries Ltd,13.77,13.3,1.72%,25.35,1.38,0.42,6.96,3.22%,1.15,10.12%,3.33%,1
DEO,Diageo PLC,24.94,24.88,2.06%,23.67,9.17,5.9,20.46,25.93%,1.27,34.52%,10.94%,1
DFEL,China TMK Battery Systems Inc,0.14,0.28,--,0.05,0.03,0.33,4.24,9.47%,0.23,30.46%,16.48%,1
DFIN,Donnelley Financial Solutions Inc,11.6,4.63,--,9.69,1.29,0.39,2.88,7.64%,1.37,11.89%,3.16%,1
DFS,Discover Financial Services,9.34,10.61,2.13%,9.12,2.33,2.29,8.24,25.60%,2.07,26.68%,2.71%,1
DG,Dollar General Corp,24.17,25.85,0.84%,23.03,5.87,1.43,19.2,6.16%,0.42,25.35%,9.28%,1
DGII,Digi International Inc,49.49,49.73,--,24.18,1.4,1.96,21.3,3.92%,0,2.93%,2.59%,1
DGX,Quest Diagnostics Inc,20.59,20.66,1.98%,16.45,2.57,1.88,13.85,9.69%,0.57,13.00%,6.09%,1
DHI,D.R. Horton Inc,12.53,12.54,1.30%,11.04,1.98,1.13,11.73,9.20%,0.25,17.03%,10.89%,1
DHIL,Diamond Hill Investment Group Inc,10.83,10.72,--,141.75,2.16,3.55,10.3,31.17%,0,20.32%,14.59%,1
DHR,Danaher Corp,47.04,42.44,0.43%,35.77,3.67,5.38,27.82,13.29%,0.51,8.28%,4.54%,1
DHX,DHI Group Inc,12.45,19.8,--,12.54,1.06,1.08,9.38,4.67%,0.05,8.31%,4.84%,1
DIMC,Dimeco Inc,15.46,11.17,3.13%,42.15,1.06,3.89,14.52,23.55%,0,9.54%,0.99%,1
DIOD,Diodes Inc,21.46,27.48,--,19.88,2.77,2.33,13.82,8.91%,0.09,14.28%,9.05%,1
DIS,Walt Disney Co,21.92,23.15,1.22%,26.63,2.9,3.75,17.33,15.64%,0.43,15.12%,7.44%,1
DISCA,Discovery Inc,12.31,37.2,--,8.75,1.75,1.45,3.25,6.45%,1.57,15.55%,6.09%,1
DISH,DISH Network Corp,13.94,11.85,--,14.12,1.72,1.44,7.78,12.15%,1.27,14.63%,4.64%,1
DIT,AMCON Distributing Co,16.03,15.94,0.96%,75,0.68,0.03,7.73,0.21%,1.05,4.58%,1.93%,1
DK,Delek US Holdings Inc,6.74,8.36,3.58%,9.29,1.47,0.25,4.28,3.74%,1.14,22.99%,6.46%,1
DKS,Dick's Sporting Goods Inc,13.38,14.9,2.28%,13.41,2.37,0.49,7.52,3.79%,0.42,18.57%,5.60%,1
DLA,Delta Apparel Inc,26.2,26.08,--,16.77,1.37,0.49,10.83,1.82%,0.79,5.42%,2.18%,1
DLAKY,Deutsche Lufthansa AG,5.14,3.46,5.10%,5.73,0.85,0.21,1.72,6.13%,0.91,14.73%,3.59%,1
DLB,Dolby Laboratories Inc,20,20.04,1.29%,19.78,2.97,5.54,15.55,28.80%,0,15.30%,12.58%,1
DLHC,DLH Holdings Corp,10.65,10.66,--,6.91,1.15,0.33,5.68,3.32%,1.18,12.53%,5.55%,1
DLPH,Delphi Technologies PLC,5.28,2.8,--,4.94,2.72,0.22,1.71,7.72%,4.08,67.62%,5.44%,1
DLR,Digital Realty Trust Inc,120.41,99.54,3.59%,88.64,3.01,7.85,17.37,11.20%,1.18,2.44%,1.36%,1
DLTH,Duluth Holdings Inc,19.19,12.64,--,14.29,1.92,0.49,8.24,4.08%,1.02,10.36%,3.50%,1
DMCD,Detwiler Fenton Group Inc,0.12,0.07,--,0.03,0.02,0,0.05,7.99%,0,24.94%,15.14%,1
DMLP,Dorchester Minerals LP,11.86,12.31,10.16%,19.81,5.9,8.43,11.28,73.57%,0,56.46%,55.14%,1
DNOW,NOW Inc,24.4,22.97,--,35.92,0.96,0.4,12.93,1.69%,0.01,4.03%,2.74%,1
DNR,Denbury Resources Inc,1.58,1.75,--,3.24,0.43,0.48,1.17,21.90%,1.79,31.90%,7.84%,1
DOC,Physicians Realty Trust,81.32,62.44,4.89%,73.15,1.49,8.57,16.44,13.80%,0.66,1.78%,1.09%,1
DOGZ,Dogness International Corp,24.07,24.07,--,10.99,0.56,1.76,16.08,5.35%,0,2.34%,2.02%,1
DOMR,Dominion Resources Black Warrior Trust,0.01,0,--,0,0.01,0.01,0,82.81%,0,52.93%,49.04%,1
DOOR,Masonite International Corp,35.21,22.65,--,21.23,3.12,0.86,10.18,4.45%,1.32,8.49%,3.15%,1
DORM,Dorman Products Inc,24.59,18.77,--,26.66,3.21,2.45,15.28,13.72%,0,13.67%,10.81%,1
DOV,Dover Corp,25.66,30.01,1.69%,19.79,5.57,2.35,19.34,8.39%,0.97,23.06%,7.76%,1
DOW,Dow Inc,27.32,8.55,5.44%,14.71,2.19,0.81,7.27,7.69%,0.99,6.27%,2.09%,1
DOX,Amdocs Ltd,20.82,20.84,1.58%,16,2.79,2.39,14.3,11.73%,0,13.70%,9.01%,1
DQ,Daqo New Energy Corp,30.68,11.88,--,22.88,1.41,2.43,8.31,20.58%,0.31,4.86%,2.71%,1
DRE,Duke Realty Corp,31.31,33.09,2.69%,32.73,2.58,12.66,20.07,40.45%,0.56,8.38%,5.08%,1
DRH,DiamondRock Hospitality Co,28.83,24.26,4.84%,32.48,1.15,2.24,10.75,10.17%,0.61,3.94%,2.27%,1
DRI,Darden Restaurants Inc,22.65,19.99,3.07%,17.92,6.12,1.61,13.19,8.44%,0.41,27.90%,8.25%,1
DSWL,Deswell Industries Inc,15.4,9.96,6.04%,2.65,0.5,0.61,6.6,6.42%,0,3.30%,2.69%,1
DSX,Diana Shipping Inc,326.75,28.86,--,28.11,0.51,1.36,5,7.33%,0.8,0.09%,0.53%,1
DTE,DTE Energy Co,21.64,20.49,3.14%,20.66,2.2,1.87,10.95,8.01%,1.29,10.42%,2.99%,1
DTEGY,Deutsche Telekom AG,25.17,32.31,4.78%,15.15,2.3,0.88,4.27,4.40%,2.33,9.02%,2.73%,1
DTRK,DATATRAK International Inc,31.93,86.33,--,5.96,17.2,1.84,16.64,2.17%,2.85,97.83%,6.97%,1
DUK,Duke Energy Corp,18.69,24.01,4.18%,18.04,1.48,2.73,9.34,10.79%,1.18,8.03%,2.29%,1
DVA,DaVita Inc,19.83,21.24,--,14.55,4.39,0.86,7.05,6.93%,3.46,20.27%,4.47%,1
DVD,Dover Motorsports Inc,9.93,9.65,5.52%,1.81,1.01,1.44,6.48,14.65%,0,10.32%,7.91%,1
DVLN,DVL Inc,9.94,10.12,--,"2,800.00",0.61,1.77,9.34,17.01%,0.59,6.39%,2.37%,1
DVLY,Deer Valley Corp,4.5,4.5,--,0.57,0.71,0.25,4.04,5.50%,0,17.05%,12.23%,1
DVN,Devon Energy Corp,10.64,20.97,1.43%,18.07,1.48,1.11,3.98,7.12%,0.66,14.22%,6.41%,1
DXF,Dunxin Financial Holdings Ltd,8.05,28.74,--,1.3,0.58,1.13,20.9,5.75%,0,5.71%,3.69%,1
DXPE,DXP Enterprises Inc,15.83,19.95,--,15.84,1.99,0.53,11.03,2.93%,0.69,14.10%,6.09%,1
DY,Dycom Industries Inc,25.56,22.95,--,18.28,1.62,0.42,5.87,2.01%,1.1,6.64%,2.49%,1
E,Eni SpA,20.52,12.31,5.97%,13.58,0.99,0.69,4.6,5.46%,0.46,4.77%,1.99%,1
EA,Electronic Arts Inc,11.82,32.61,--,23.13,4.44,6.24,27.17,20.59%,0.14,44.02%,28.84%,1
EACO,EACO Corp,11,10.99,--,21.15,1.94,0.45,9.88,4.26%,0.12,19.31%,10.25%,1
EBAY,eBay Inc,20.22,16.74,1.61%,12.59,8.74,2.61,10.28,19.22%,2.21,30.08%,7.24%,1
EBF,Ennis Inc,14.7,14.78,4.20%,14.27,1.85,1.29,10.4,9.34%,0,12.89%,10.40%,1
EBIX,Ebix Inc,11.34,10.47,0.95%,9.38,1.8,1.69,9.06,19.10%,1.31,16.61%,5.19%,1
EBMT,Eagle Bancorp Montana Inc,13.43,23.58,1.78%,11.57,1.14,2.38,16.83,11.57%,0.21,9.39%,1.07%,1
EBSB,Meridian Bancorp Inc (MARYLAND),15.98,18.22,1.66%,14.9,1.44,5.68,17.39,32.16%,0,8.95%,1.03%,1
EBTC,Enterprise Bancorp Inc,12.18,13.41,1.94%,32.96,1.34,3.06,10.9,23.90%,0.05,12.00%,1.06%,1
EC,Ecopetrol SA,11.7,12.04,9.24%,11.91,2.35,1.98,6.91,18.48%,0.61,21.12%,10.29%,1
ECHO,Echo Global Logistics Inc,27.95,20.36,--,14.42,1.44,0.26,8.75,1.18%,0.4,5.26%,2.27%,1
ECL,Ecolab Inc,34.79,36.17,1.00%,32.22,6.36,3.67,21.97,10.50%,0.7,19.24%,7.87%,1
ECOL,US Ecology Inc,24.64,24.84,1.29%,25.3,3.18,2.69,18.64,8.73%,0.92,13.55%,5.41%,1
ECPG,Encore Capital Group Inc,6.47,8.73,--,5.96,1.19,0.79,7.29,8.06%,3.72,20.23%,3.67%,1
ED,Consolidated Edison Inc,20.63,19.22,3.38%,20.27,1.62,2.31,10.16,11.54%,0.98,8.15%,2.76%,1
EDN,Empresa Distribuidora y Comercializadora Norte SA,1.07,3.7,--,2.05,0.15,0.12,1.51,7.68%,0.19,51.42%,19.34%,1
EDPFY,EDP Energias de Portugal SA,10.22,13.74,10.22%,43.05,2.74,1.38,6.97,10.43%,1.75,29.73%,5.90%,1
EDSFF,Exceed Company Ltd,0,0,--,0,0,0,0,4.02%,0,4.96%,4.54%,1
EDU,New Oriental Education & Technology Group Inc,64.55,87.59,--,37.41,8.26,6.28,60.36,7.43%,0.04,14.39%,6.22%,1
EDUC,Educational Development Corp,8.82,7.56,3.25%,6.16,1.91,0.45,6.41,5.62%,0.67,22.63%,8.46%,1
EE,El Paso Electric Co,29.26,32.86,2.27%,25.07,2.24,3.21,11.55,9.33%,1.09,7.79%,2.55%,1
EEFT,Euronet Worldwide Inc,31.18,40.12,--,23.19,6.08,3.23,26.86,8.67%,0.74,21.95%,7.40%,1
EFSC,Enterprise Financial Services Corp,13.85,12.49,1.42%,11.86,1.51,4.65,13.32,38.75%,0.17,12.17%,1.36%,1
EFSI,Eagle Financial Services Inc,12,12.08,3.32%,31.36,1.14,2.81,10.63,24.81%,0,10.04%,1.10%,1
EGAN,eGain Corp,48.66,55.88,--,127.83,9.03,3.41,47.15,6.20%,0,43.13%,7.42%,1
EGBN,Eagle Bancorp Inc,11.09,10.76,1.85%,11.25,1.35,4.56,10.02,44.84%,0.18,13.16%,1.73%,1
EGOV,NIC Inc,29.26,25.18,1.46%,29.28,6.13,4.25,21.69,17.01%,0,22.51%,14.54%,1
EGP,Eastgroup Properties Inc,53.59,52.74,2.28%,52.61,4.56,15.85,28.38,29.51%,1.01,9.18%,4.04%,1
EGRX,Eagle Pharmaceuticals Inc,32.79,27.96,--,22.63,4.54,3.92,22.44,14.96%,0.2,14.01%,9.85%,1
EGY,VAALCO Energy Inc,25.14,1.56,--,10.12,1.35,1.63,1.41,94.08%,0,5.91%,3.56%,1
EHC,Encompass Health Corp,22.19,24.4,1.58%,18.45,5.25,1.55,12.19,8.75%,2.22,23.93%,6.99%,1
EHTH,eHealth Inc,833.08,"7,843.35",--,41.39,4.89,6.3,305.13,0.10%,0,1.17%,0.87%,1
EIG,Employers Holdings Inc,9.27,10.07,2.07%,12.8,1.17,1.68,9.19,17.60%,0.02,13.99%,3.80%,1
EL,Estee Lauder Companies Inc,41.4,43.79,0.91%,35.33,16.85,5,32.32,12.10%,0.64,42.21%,13.56%,1
ELA,Envela Corp,15.8,60.39,--,1.47,3.81,0.54,41.91,1.22%,0.91,27.49%,13.06%,1
ELAN,Elanco Animal Health Inc,112.43,121.44,--,26.9,1.95,3.48,28.02,2.82%,0.43,1.77%,1.04%,1
ELF,e.l.f. Beauty Inc,611.49,48.65,--,31.87,3.31,2.82,25.36,5.81%,0.57,0.89%,0.47%,1
ELMD,Electromed Inc,28.72,41.25,--,26.14,2.95,2.46,27.47,6.29%,0,11.32%,9.79%,1
ELP,Companhia Paranaense de Energia,10.84,13.8,5.23%,12.04,1.11,1.3,9.11,9.67%,0.54,10.64%,5.18%,1
ELS,Equity LifeStyle Properties Inc,48.77,62.43,1.75%,51.83,10.19,12.56,35.3,22.69%,1.91,23.18%,7.05%,1
ELUXY,Electrolux AB,19.18,17.79,3.73%,13.75,3.14,0.57,9.12,3.07%,0.47,16.77%,3.53%,1
ELVT,Elevate Credit Inc,7.02,15.82,--,6.38,1.35,0.26,7.72,1.58%,3.77,21.79%,3.72%,1
ELY,Callaway Golf Co,25.87,19.85,0.19%,19.28,2.59,1.28,16.09,8.47%,0.57,10.49%,5.65%,1
EMCF,Emclaire Financial Corp,17.17,30.17,3.52%,33,1.09,2.67,21.65,9.10%,0.37,7.40%,0.63%,1
EME,EMCOR Group Inc,15.37,17.58,0.37%,15.06,2.44,0.54,13.16,3.52%,0.13,16.91%,7.44%,1
EML,Eastern Co,15.34,13.36,1.48%,29.64,1.78,0.77,9.39,5.94%,0.92,12.16%,5.29%,1
EMN,Eastman Chemical Co,13.98,10.08,3.53%,10.59,1.69,1.08,6.1,10.48%,0.92,12.45%,4.59%,1
EMR,Emerson Electric Co,21.62,20.71,2.60%,21.21,5.71,2.55,14.88,12.67%,0.52,25.68%,10.90%,1
ENBL,Enable Midstream Partners LP,8.77,9.32,12.75%,9.89,0.63,1.42,5.1,15.24%,0.53,7.20%,4.55%,1
ENBP,ENB Financial Corp,10.9,12.15,3.08%,20.75,1.02,5.05,20.78,22.08%,0,10.09%,0.98%,1
ENHD,Energroup Holdings Corp,0.01,0.03,--,0.01,0,0,0.02,2.84%,0,20.37%,13.31%,1
ENIA,Enel Americas SA,8.83,10.79,3.78%,13.16,1.74,1.19,6.72,12.64%,0.5,18.73%,7.51%,1
ENIC,Enel Chile SA,14.73,13.52,4.38%,22.23,1.51,1.93,8.53,16.80%,0.51,10.40%,5.19%,1
ENR,Energizer Holdings Inc,57.76,62.38,2.48%,15.65,6.14,1.35,23.13,2.58%,6.37,18.41%,1.49%,1
ENS,EnerSys,19.3,21.68,0.95%,14.7,2.38,1.04,14.86,5.24%,0.85,13.11%,5.72%,1
ENSG,Ensign Group Inc,23.86,27.57,0.43%,21.4,3.68,1.1,17.86,4.53%,0.39,17.55%,6.33%,1
ENTA,Enanta Pharmaceuticals Inc,26.49,26.59,--,-52.38,2.51,5.65,23.37,22.60%,0,10.83%,10.26%,1
ENTG,Entegris Inc,25.69,30.78,0.61%,26.94,6.28,4.49,19.06,15.57%,0.83,25.35%,12.22%,1
ENVA,Enova International Inc,8.97,13.09,--,5.67,1.74,0.62,10.02,5.37%,2.01,21.75%,5.85%,1
ENZ,Enzo Biochem Inc,150.12,46.16,--,2.42,1.47,1.44,20.83,3.07%,0.06,1.07%,0.75%,1
EOCCY,Enel Generacion Chile SA,12.33,10.15,3.85%,11.97,1.59,1.9,7.31,20.92%,0.41,12.81%,7.42%,1
EOG,EOG Resources Inc,16.74,14.87,1.33%,18.02,2.38,2.86,7.38,19.69%,0.2,15.08%,8.52%,1
EONGY,E.ON SE,41.2,7.11,4.58%,14.49,5.22,0.89,5.23,10.95%,1.84,10.45%,1.43%,1
EPAC,Actuant Corp,60.83,674.94,0.16%,33.36,4.25,2.34,66.81,0.35%,0.81,5.63%,2.13%,1
EPAM,Epam Systems Inc,51.95,60.12,--,41.61,8.22,5.66,49.59,11.41%,0.02,18.34%,13.91%,1
EPAY,Bottomline Technologies (DE) Inc,248.83,236.39,--,38.42,5.92,5.5,43.8,2.24%,0.29,2.48%,1.39%,1
EPD,Enterprise Products Partners LP,13.17,15.02,6.21%,13.36,2.54,1.84,10.35,11.60%,1.05,19.98%,8.20%,1
EPM,Evolution Petroleum Corp,14.07,11.32,7.62%,17.5,2.2,4.31,7.99,35.57%,0,15.62%,12.92%,1
EPR,EPR Properties,27.32,21.69,6.35%,26.81,1.82,8.04,14.03,38.10%,1.02,6.60%,3.45%,1
EPRT,Essential Properties Realty Trust Inc,47.45,103.1,3.60%,43.32,1.86,16.67,41.32,21.42%,0.6,3.93%,2.64%,1
EQBK,Equity Bancshares Inc,17.86,12.54,--,18.15,0.95,2.93,10.66,24.79%,0.06,5.60%,0.64%,1
EQC,Equity Commonwealth,8.43,15.14,--,8.29,1.27,27.36,12.62,138.52%,0.01,15.73%,13.05%,1
EQFN,Equitable Financial Corp,32.61,35.36,--,12.48,1.16,3.24,24.41,11.43%,0,3.65%,0.48%,1
EQH,Axa Equitable Holdings Inc,15.24,8.22,2.33%,5.58,0.85,0.94,5.92,16.85%,0.48,7.10%,0.51%,1
EQIX,Equinix Inc,102.01,132.75,1.66%,97.15,5.78,9.29,31.93,7.08%,1.18,6.10%,2.25%,1
EQM,EQM Midstream Partners LP,26.36,11.67,16.33%,6.28,1.31,3.61,9.21,44.90%,0.96,5.00%,3.10%,1
EQNR,Equinor ASA,12.51,9.05,4.94%,12.17,1.66,0.98,4.16,9.60%,0.6,13.14%,4.67%,1
EQR,Equity Residential,39.25,45.89,2.79%,37.99,2.97,11.3,20.51,26.72%,0.88,7.81%,3.68%,1
ERI,Eldorado Resorts Inc,48.8,48.05,--,36.12,4.01,1.74,17.99,4.63%,3.48,8.70%,1.78%,1
ERIE,Erie Indemnity Co,30.09,33.36,2.35%,26.5,7.69,3.09,25.21,12.10%,0.09,31.32%,17.12%,1
